timestamp,joint,target_pos,actual_pos,latency_ms,test_count
1761390412.192535,yaw_body,0.1,0.1,0.0209808349609375,83
1761390412.205098,yaw_body,0.0,0.0,0.025987625122070312,84
1761390412.21742,yaw_body,0.1,0.1,0.03790855407714844,85
1761390412.229995,yaw_body,0.0,0.0,0.033855438232421875,86
1761390412.241379,yaw_body,0.1,0.1,0.027894973754882812,87
1761390412.2539651,yaw_body,0.0,0.0,0.04315376281738281,88
1761390412.266558,yaw_body,0.1,0.1,0.04291534423828125,89
1761390412.2772212,yaw_body,0.0,0.0,0.014066696166992188,90
1761390412.289814,yaw_body,0.1,0.1,0.04887580871582031,91
1761390412.302367,yaw_body,0.0,0.0,0.019311904907226562,92
1761390412.313835,yaw_body,0.1,0.1,0.028848648071289062,93
1761390412.326386,yaw_body,0.0,0.0,0.019073486328125,94
